Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Shalev, Lilach; Kolodny, Tamar; Shalev, Nir; Mevorach, Carmel; ","Attention functioning among adolescents with multiple learning, attentional, behavioral, and emotional difficulties",Journal of learning disabilities,49,6,582-596,2016,"Sage Publications Sage CA: Los Angeles, CA"
"Kolodny, Tamar; Mevorach, Carmel; Shalev, Lilach; ",Isolating response inhibition in the brain: Parietal versus frontal contribution,Cortex,88,,173-185,2017,Elsevier
"Kolodny, T; Luria, R; Shalev, L; ",Differential effects of sustained attention on early ERP components among adults with and without ADHD,JOURNAL OF MOLECULAR NEUROSCIENCE,53,,S72-S72,2014,"HUMANA PRESS INC 999 RIVERVIEW DRIVE SUITE 208, TOTOWA, NJ 07512 USA"
"Kolodny, Tamar; Ashkenazi, Yael; Farhi, Moran; Shalev, Lilach; ",Computerized progressive attention training (CPAT) vs. active control in adults with ADHD,Journal of Cognitive Enhancement,1,4,526-538,2017,Springer International Publishing
"Murray, Scott O; Schallmo, Michael-Paul; Kolodny, Tamar; Millin, Rachel; Kale, Alex; Thomas, Philipp; Rammsayer, Thomas H; Troche, Stefan J; Bernier, Raphael A; Tadin, Duje; ",Sex differences in visual motion processing,Current biology,28,17,2794-2799. e3,2018,Cell Press
"Millin, Rachel; Kolodny, Tamar; Flevaris, Anastasia V; Kale, Alex M; Schallmo, Michael-Paul; Gerdts, Jennifer; Bernier, Raphael A; Murray, Scott O; ",Disrupted neural adaptation in autism spectrum disorder,bioRxiv,,,286880,2018,Cold Spring Harbor Laboratory
"Schallmo, Michael-Paul; Millin, Rachel; Kale, Alex M; Kolodny, Tamar; Edden, Richard AE; Bernier, Raphael A; Murray, Scott O; ",Glutamatergic facilitation of neural responses in MT enhances motion perception in humans,NeuroImage,184,,925-931,2019,Academic Press
"Millin, Rachel; Kolodny, Tamar; Flevaris, Anastasia V; Kale, Alexander M; Schallmo, Michael-Paul; Gerdts, Jennifer; Bernier, Raphael A; Murray, Scott; ",Reduced auditory cortical adaptation in autism spectrum disorder,ELife,7,,e36493,2018,eLife Sciences Publications Limited
"Kolodny, Tamar; Mevorach, Carmel; Shalev, Llilach; ",Isolating response inhibition in the brain,,,,,2016,
"Schallmo, Michael-Paul; Kolodny, Tamar; Kale, Alexander M; Millin, Rachel; Flevaris, Anastasia V; Edden, Richard AE; Gerdts, Jennifer; Bernier, Raphael A; Murray, Scott O; ",Weaker neural suppression in autism,Nature communications,11,1,1-13,2020,Nature Publishing Group
"Kolodny, Tamar; Mevorach, Carmel; Stern, Pnina; Biderman, Natalie; Ankaoua, Maya; Tsafrir, Shlomit; Shalev, Lilach; ",Fronto-parietal engagement in response inhibition is inversely scaled with attention-deficit/hyperactivity disorder symptom severity,NeuroImage: Clinical,25,,102119,2020,Elsevier
"Kolodny, Tamar; Schallmo, Michael-Paul; Gerdts, Jennifer; Bernier, Raphael A; Murray, Scott O; ",Response dissociation in hierarchical cortical circuits: a unique feature of autism spectrum disorder,Journal of Neuroscience,40,11,2269-2281,2020,Society for Neuroscience
"Kolodny, Tamar; Schallmo, Michael‐Paul; Gerdts, Jennifer; Edden, Richard AE; Bernier, Raphael A; Murray, Scott O; ",Concentrations of cortical GABA and glutamate in young adults with autism spectrum disorder,Autism Research,13,7,1111-1129,2020,"John Wiley & Sons, Inc. Hoboken, USA"
"Murray, Scott O; Kolodny, Tamar; Schallmo, Michael-Paul; Gerdts, Jennifer; Bernier, Raphael A; ",Late fMRI response components are altered in autism spectrum disorder,Frontiers in human neuroscience,14,,241,2020,Frontiers Media SA
"Kolodny, Tamar; Mevorach, Carmel; Stern, Pnina; Ankaoua, Maya; Dankner, Yarden; Tsafrir, Shlomit; Shalev, Lilach; ",Are attention and cognitive control altered by fMRI scanner environment? Evidence from Go/No-go tasks in ADHD,Brain imaging and behavior,16,3,1003-1013,2022,Springer US
